,Annee,Mois,Jour,Date,Co2
279,1979,9,30,1979.7466,334.1
280,1979,10,7,1979.7658,334.53
281,1979,10,14,1979.7849,334.09
282,1979,10,21,1979.8041,334.12
283,1979,10,28,1979.8233,334.54
284,1979,11,4,1979.8425,334.8
285,1979,11,11,1979.8616,335.34
286,1979,11,18,1979.8808,335.63
287,1979,11,25,1979.9,335.88
288,1979,12,2,1979.9192,336.39
289,1979,12,9,1979.9384,336.72
290,1979,12,16,1979.9575,337.01
291,1979,12,23,1979.9767,337.18
292,1979,12,30,1979.9959,337.53
293,1980,1,6,1980.015,337.4
294,1980,1,13,1980.0342,337.71
295,1980,1,20,1980.0533,338.65
296,1980,1,27,1980.0724,337.89
297,1980,2,3,1980.0915,338.47
298,1980,2,10,1980.1107,338.19
299,1980,2,17,1980.1298,338.35
300,1980,2,24,1980.1489,338.91
301,1980,3,2,1980.168,339.51
302,1980,3,9,1980.1872,339.83
303,1980,3,16,1980.2063,339.51
304,1980,3,23,1980.2254,340.84
305,1980,3,30,1980.2445,340.64
306,1980,4,6,1980.2637,340.76
307,1980,4,13,1980.2828,340.98
308,1980,4,20,1980.3019,341.15
309,1980,4,27,1980.3210000000001,341.35
310,1980,5,4,1980.3402,341.39
311,1980,5,11,1980.3593,341.71
312,1980,5,18,1980.3784,341.45
313,1980,5,25,1980.3975,341.32
314,1980,6,1,1980.4167,341.64
315,1980,6,8,1980.4358,341.61
316,1980,6,15,1980.4549,341.5
317,1980,6,22,1980.474,340.76
318,1980,6,29,1980.4932,340.4
319,1980,7,6,1980.5123,339.42
320,1980,7,13,1980.5314,339.31
321,1980,7,20,1980.5505,338.77
322,1980,7,27,1980.5697,338.81
323,1980,8,3,1980.5888,336.78
324,1980,8,10,1980.6079,338.07
325,1980,8,17,1980.6270000000002,338.36
326,1980,8,24,1980.6462,337.21
327,1980,8,31,1980.6653,336.9
328,1980,9,7,1980.6844,336.24
329,1980,9,14,1980.7036,336.24
330,1980,9,21,1980.7227,335.36
331,1980,9,28,1980.7418,335.99
332,1980,10,5,1980.7609,335.72
333,1980,10,12,1980.7801,336.11
334,1980,10,19,1980.7992,336.51
335,1980,10,26,1980.8183,336.69
336,1980,11,2,1980.8374,336.97
337,1980,11,9,1980.8566,337.49
338,1980,11,16,1980.8757,337.2
339,1980,11,23,1980.8948,337.64
340,1980,11,30,1980.9139,337.88
341,1980,12,7,1980.9331,338.11
342,1980,12,14,1980.9522,338.5
343,1980,12,21,1980.9713,338.52
344,1980,12,28,1980.9904,338.6
345,1981,1,4,1981.0096,339.12
346,1981,1,11,1981.0288,339.25
347,1981,1,18,1981.0479,339.55
348,1981,1,25,1981.0671,339.67
349,1981,2,1,1981.0863,339.89
350,1981,2,8,1981.1055,340.7
351,1981,2,15,1981.1247,340.18
352,1981,2,22,1981.1438,341.34
353,1981,3,1,1981.1629999999998,341.23
354,1981,3,8,1981.1822,340.97
355,1981,3,15,1981.2014,341.53
356,1981,3,22,1981.2205,342.49
